song,artist,youtube_id,AI_Keywords
情歌,梁靜茹,Y53YydXAm2w,"靜茹＆情歌 別再為他流淚, Fish Leong & Songs of Love, 2009, 2000年代, 2000s, 台灣, Taiwan, 華語流行, Mandopop, 梁式情歌, Fish Leong Style, 流行抒情, Pop Ballad, 柔和嗓音, Mellow Vocals, 清澈嗓音, Clean Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 婚禮, Wedding, 約會, Dating, 懷舊, Nostalgic, 時光是琥珀淚一滴被定格, 妳寫給我我的第一首歌"
修煉愛情,林俊傑,-oaaajR-Zt0,"因你而在, Stories Untold, 2013, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 林氏情歌, JJ Lin Style, 流行抒情, Pop Ballad, 鋼琴伴奏, Piano, 弦樂編制, Strings, 流行節奏, Pop Beat, 情感爆發, Emotional Vocals, 敘事風格, Narrative Songwriting, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 流行金曲, Hit Song, 音樂愛情故事, 紀念, Remembrance, 憑什麼要失望藏眼淚到心上, 修煉愛情的悲歡我們這些努力不簡單"
永不失聯的愛,周興哲,U2vJs5gxrLA,"你好，妳好, The Chaos After You, 2017, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, 周氏情歌, Eric Chou Style, 流行抒情, Pop Ballad, 鋼琴獨奏, Piano, 弦樂編制, Strings, 深情嗓音, Emotional Vocals, 敘事唱法, Narrative Vocals, 浪漫氛圍, Romantic, 療癒系, Healing, 婚禮歌單, Wedding, 約會, Dating, 經典, Classic, 情感共鳴, Emotional Resonance, 你好，妳好, 一個你和我和日落的午后"
演員,薛之謙,gREBcS09DFQ,"初學者, Beginner, 2015, 2010年代, 2010s, 中國大陸, Mainland China, 華語流行, Mandopop, 薛式情歌, Joker Xue Style, 流行抒情, Pop Ballad, 傷感抒情, Emotional Ballad, 磁性嗓音, Raspy Vocals, 戲劇性張力, Dramatic Tension, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 情感共鳴, Emotional Resonance, 經典, Classic, 流行熱門, Trending Pop, 簡單點說話的方式簡單點, 該配合你演出的我演視而不見"
綠色,陳雪凝,3vMjN6bJG-w,"綠色, Green, 2019, 2010年代, 2010s, 中國大陸, Mainland China, 華語流行, Mandopop, 流行抒情, Pop Ballad, 創作歌手, Singer-songwriter, 柔和嗓音, Soft Vocals, 鋼琴, Piano, 流行編曲, Pop Arrangement, 憂傷, Melancholy, 情感表達, Emotional, 療癒, Healing, 浪漫, Romantic, 愛情, Love, 經典流行, Classic Pop, 若不是你突然闖入我懷裡, 說不出你愛我的故事"
有一種悲傷,A-Lin,XtxReTouWjc,"比悲傷更悲傷的故事電影原聲帶, More Than Blue Original Soundtrack, 2018, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, A-Lin式情歌, A-Lin Style, 流行抒情, Pop Ballad, 情感爆發, Emotional Vocals, 強大共鳴, Power Vocals, 鋼琴伴奏, Piano, 弦樂編曲, Orchestral Strings, 療癒, Healing, 感傷, Melancholic, 電影主題曲, Movie Soundtrack, 經典, Classic, 我習慣獨自一個人, 有一種悲傷"
光年之外,鄧紫棋,4l64raUvS4E,"光年之外, Light Years Away, 2016, 2010年代, 2010s, 中國, 華語流行, Mandopop, 鄧氏情歌, G.E.M. Style, 流行抒情, Pop Ballad, 電影主題曲, Soundtrack, 強力抒情, Power Ballad, 穿透力嗓音, Powerful Vocals, 鋼琴伴奏, Piano, 宏大編曲, Orchestral, 浪漫, Romantic, 史詩感, Epic, 戲劇性, Dramatic, 經典, Classic, 感受停在我髮際你看著我眼睛, 我和我最後的倔強握緊雙手絕對不放"
泡沫,鄧紫棋,Mblqb4rgGc0,"Xposed, Xposed, 2012, 2010年代, 2010s, Hong Kong, 華語流行, Mandopop, 鄧氏情歌, G.E.M. Style, 流行抒情, Pop Ballad, 強力情歌, Power Ballad, 穿透力嗓音, Powerful Vocals, 戲劇性張力, Dramatic Tension, 鋼琴伴奏, Piano, 弦樂編制, Strings, 流行音樂, Pop, 情感爆發, Emotional Outburst, 療癒, Healing, 經典, Classic, 陽光下的泡沫是彩色的, 泡沫一觸就破"
魔鬼中的天使,田馥甄,7MeMHolkjHs,"田馥甄 My Love, Hebe Tien My Love, 2011, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 田式情歌, Hebe Tien Style, 流行抒情, Pop Ballad, 流行搖滾, Pop Rock, 清澈嗓音, Clean Vocals, 氣聲唱法, Airy Vocals, 鋼琴伴奏, Piano, 電吉他, Electric Guitar, 浪漫氛圍, Romantic, 悲傷, Sadness, 情感張力, Emotional Intensity, 療癒系, Healing, 經典, Classic, 把太細的神經割掉是不是會比較好過, 你是魔鬼中的天使所以送我心碎的方式"
說謊,林宥嘉,cyK5Utpriro,"感官世界, Senses, 2009, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 鋼琴伴奏, Piano, 弦樂, Strings, 流行搖滾, Pop Rock, 男聲, Male Vocals, 敘事性唱腔, Narrative Vocals, 戲劇性, Dramatic, 情感張力, Emotional Intensity, 經典, Classic, 療癒, Healing, 懷舊, Nostalgic, 心碎, Heartbreak, 苦情, Anguish, 悲傷, Sadness, 是不是別在我離開之前剪掉燙平, 我沒有說謊我何必說謊"
勇氣,梁靜茹,_hgxWv-I0Pg,"勇氣, Courage, 2000, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 情歌天后, Fish Leong Style, 流行抒情, Pop Ballad, 溫暖嗓音, Warm Vocals, 情感堆疊, Emotional Delivery, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 婚禮歌單, Wedding, 約會, Dating, 咖啡廳, Cafe, 終於做了這個決定別人怎麼說我不理, 愛真的需要勇氣"
吻別,張學友,bmMwU7-NNXQ,"吻別, The Kiss Goodbye, 1993, 1990年代, 1990s, 台灣, 華語流行, Mandopop, 流行抒情, Pop Ballad, 張學友風格, Jacky Cheung Style, 強力抒情, Power Ballad, 渾厚嗓音, Deep Vocals, 情感渲染, Emotional Delivery, 鋼琴伴奏, Piano, 鼓組節奏, Drums, 經典, Classic, 懷舊, Nostalgia, 療癒, Healing, 悲傷, Sadness, 離別, Parting, 前塵往事成雲煙 消散在彼此眼前, 我和妳吻別 在無人的街"
征服,那英,AbINY2fGOuI,"征服, Conquering, 1998, 1990年代, 1990s, 中國, 華語流行, Mandopop, 那式情歌, Na Ying Style, 流行抒情, Pop Ballad, 戲劇性嗓音, Dramatic Vocals, 渾厚音色, Powerful Vocals, 鋼琴主導, Piano, 弦樂編制, Strings, 情感爆發, Emotional Intensity, 經典華語, Classic Mandopop, 懷舊金曲, Nostalgia, 傷感, Melancholic, 揪心, Heartbreaking, 深度情感, Emotional, 終於妳還是選擇了背叛, 就這樣被妳征服"
分手後不要做朋友,梁文音,2_HdhvDg1tc,"黃色夾克, Yellow Jacket, 2014, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 戲劇主題曲, Soundtrack, 高亢嗓音, Powerful Vocals, 情感爆發, Emotional Intensity, 鋼琴, Piano, 弦樂, Strings, 療癒, Healing, 抒情歌單, Ballad Playlist, 華語經典, Chinese Classic, 成熟愛情, Mature Love, 心碎, Heartbreak, 還是朋友也只是朋友, 分手後不要做朋友"
洋蔥,楊宗緯,g2ZJKCWsvt4,"鴿子, Pigeon, 2008, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 情感強烈, Emotive Vocals, 實力派唱腔, Power Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 經典, Classic, 傷感, Melancholic, 催淚, Tearjerker, 深刻情感, Deep Emotion, 如果你眼神能夠為我片刻的眷顧, 如果你願意一層一層一層的剝開我的心"
淘汰,陳奕迅,ZH1W6Xoj-V0,"認了吧, What's Going On...?, 2007, 2000年代, 2000s, 香港, 華語流行, Mandopop, 周氏情歌, Jay Chou Style, 流行抒情, Pop Ballad, 鋼琴主導, Piano, 弦樂編制, Strings, 渾厚嗓音, Deep Vocals, 真假音轉換, Vocal Dynamics, 戲劇張力, Dramatic, 經典, Classic, 療癒, Healing, 失戀, Heartbreak, 情感宣洩, Emotional, 咖啡廳, Cafe, 我說了所有的謊, 那只能說我輸了"
阿飛的小蝴蝶,蕭敬騰,oOJeWJzGVUE,"王妃, Princess, 2009, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 搖滾流行, Pop Rock, 靈魂樂, Soul, 蕭敬騰唱腔, Jam Hsiao Style, 爆發力嗓音, Powerful Vocals, 變聲技巧, Vocal Dynamics, 電吉他, Electric Guitar, 強烈節奏, Driving Groove, 浪漫氛圍, Romantic, 約會, Dating, 經典, Classic, 流行金曲, Hit Song, 其實愛你這件事是我不對, 我是阿飛的小蝴蝶"
輸了你贏了世界又如何,林俊傑,I7_gO30VHsI,"夢想的聲音, Sound of My Dream, 2016, 2010年代, 2010s, 中國, 華語流行, Mandopop, 林氏情歌, JJ Lin Style, 流行抒情, Pop Ballad, 情感爆發, Powerful Vocals, 鋼琴伴奏, Piano, 弦樂編制, String Orchestra, 戲劇張力, Dramatic, 經典翻唱, Classic Cover, 療癒系, Healing, 深情, Emotional, 輸了你贏了世界又如何, 輸了你贏了世界又如何你輸了全部又是什麼"
如歌,張杰,A83xgFIC4b8,"如歌, Ru Ge, 2018, 2010年代, 2010s, 中國, 華語流行, Mandopop, 流行抒情, Pop Ballad, 張杰式唱腔, Jason Zhang Style, 磅礴管弦, Orchestral, 鋼琴伴奏, Piano, 鼓點節奏, Groove, 強力嗓音, Powerful Vocals, 高音爆發, Belting, 電視劇主題曲, Soundtrack, 歷史古風, Historical Drama, 浪漫, Romantic, 情感宣洩, Emotional, 經典, Classic, 這一世如歌, 紅蓮綻放微雨如煙"
鹿港小鎮,羅大佑,sD0NQDVreRY,"之乎者也, Zhi Hu Zhe Ye, 1982, 1980年代, 1980s, 台灣, Taiwan, 華語流行, Mandopop, 羅氏情歌, Lo Ta-yu Style, 搖滾, Rock, 民謠搖滾, Folk Rock, 批判寫實, Social Commentary, 滄桑嗓音, Raspy Vocals, 鋼琴伴奏, Piano, 電吉他, Electric Guitar, 鼓組, Drums, 社會意識, Social Awareness, 經典, Classic, 懷舊, Nostalgic, 深刻, Deep, 史詩感, Epic, 假如你先生來自鹿港小鎮, 台北不是我想像的黃金天堂"
雪落下的聲音,陸虎,78kZhygGUio,"延禧攻略電視劇原聲帶, Story of Yanxi Palace Original Soundtrack, 2018, 2010年代, 2010s, China, 華語流行, Mandopop, 流行抒情, Pop Ballad, 古風流行, Chinese Style Pop, 敘事嗓音, Narrative Vocals, 細膩演繹, Expressive Performance, 鋼琴, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 經典影視金曲, Cinematic Classic, 影視原聲帶, Soundtrack, 感性氛圍, Emotive, 淒美, Melancholic, 輕輕落下相思入畫, 我慢長一生等一句叮嚀"
Love More,畢書盡,Ov8Vy9BJWbw,"I'M Bii, I'M Bii, 2016, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, Bii式情歌, Bii Style, 節奏藍調, R&B, 流行電子, Electropop, 動感節奏, Groove, 清澈嗓音, Clean Vocals, 氣聲唱法, Airy Vocals, 電子合成器, Synthesizer, 鼓組節奏, Drum Programming, 浪漫氛圍, Romantic, 婚禮歌單, Wedding, 約會, Dating, 城市情歌, Urban, 經典, Classic, 妳的愛讓我又更想妳了, Love More 什麼都不說"
每次都想呼喊你的名字,永邦,TvEuI_jqEU0,"永邦, Yong Bang, 2002, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 靈魂樂, Soul, 抒情搖滾, Soft Rock, 渾厚嗓音, Powerful Vocals, 情感渲染, Emotional Delivery, 鋼琴, Piano, 電吉他, Electric Guitar, 鼓組, Drums, 弦樂, Strings, 經典, Classic, 浪漫, Romantic, 懷舊, Nostalgic, 傷感, Melancholy, 療癒, Healing, 每次都想呼喊你的名字, 每次都想呼喊你的名字"
像我這樣的人,毛不易,f4QV-XiUz7k,"平凡的一天, Ordinary Day, 2018, 2010年代, 2010s, 中國, 華語流行, Mandopop, 毛不易式抒情, Mao Buyi Style, 流行抒情, Pop Ballad, 敘事性唱腔, Narrative Vocals, 醇厚嗓音, Mellow Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 沉穩, Steady, 療癒, Healing, 感性, Emotional, 深沉, Profound, introspection, 內省, 經典, Classic, 像我這樣優秀的人, 像我這樣迷茫的人"
不愛我就拉倒,周杰倫,JDrHVCJUo54,"不愛我就拉倒 (單曲), If You Don't Love Me It's Fine (Single), 2018, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, 周氏情歌, Jay Chou Style, 流行抒情, Pop Ballad, 搖滾流行, Pop Rock, 清澈嗓音, Clean Vocals, 鋼琴伴奏, Piano, 電吉他, Electric Guitar, 爵士鼓, Drums, 情感宣洩, Emotional, 浪漫, Romantic, 失戀, Heartbreak, 約會, Dating, 經典, Classic, 寒流來的週末, 不愛我就拉倒"
追光者,岑寧兒,I8dndJzijxw,"夏至未至 電視劇原聲帶, Rush to the Dead Summer Original Soundtrack, 2017, 2010年代, 2010s, China, 華語流行, Mandopop, 流行抒情, Pop Ballad, 鋼琴主導, Piano, 氣息感, Airy Vocals, 敘事性唱腔, Narrative Vocals, 浪漫氛圍, Romantic, 療癒系, Healing, 婚禮歌單, Wedding, 約會, Dating, 經典, Classic, 如果說你是海上的煙火, 我可以跟在你身後"
月牙灣,F.I.R.飛兒樂團,QNWGzuwtU70,"愛‧歌姬, Love Diva, 2007, 2000年代, 2000s, 台灣, Taiwan, 華語流行, Mandopop, 飛兒樂團風格, F.I.R. Style, 世界音樂, World Music, 流行搖滾, Pop Rock, 民族風, Ethnic Pop, 電子合成器, Synthesizer, 鼓組節奏, Percussion, 異國情調, Exotic, 壯闊, Epic, 戲劇張力, Dramatic, 經典, Classic, 敦煌, Dunhuang, 穿越千年的眼淚只有夢裡才看得見, 月牙灣的海岸線我的愛未眠"
小幸運,田馥甄,cPFVBv7sfKo,"我的少女時代電影原聲帶, Our Times Original Motion Picture Soundtrack, 2015, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 清澈嗓音, Clean Vocals, 氣聲唱法, Airy Vocals, 鋼琴伴奏, Piano, 弦樂編制, Orchestral Strings, 情感充沛, Emotive, 浪漫氛圍, Romantic, 婚禮歌單, Wedding, 約會, Dating, 咖啡廳, Cafe, 療癒, Healing, 經典, Classic, 我聽見雨滴落在青青草地, 原來我們和愛情曾經靠得那麼近"
童話,光良,HJS-XW1APxY,"童話, Fairy Tale, 2005, 2000年代, 2000s, 馬來西亞, 華語流行, Mandopop, 光良式情歌, Michael Wong Style, 流行抒情, Pop Ballad, 鋼琴獨奏, Piano Solo, 情感層次, Emotional Vocals, 真摯詮釋, Sincere Vocals, 敘事風格, Narrative Songwriting, 鋼琴, Piano, 弦樂編制, Strings, 流行經典, Pop Classic, 療癒, Healing, 浪漫, Romantic, 婚禮, Wedding, 約會, Dating, 咖啡廳, Cafe, 忘了有多久再沒聽到你, 我願變成童話裡你愛的那個天使"
愛你,陳芳語,s2BnIgEWw_k,"Kimberley首張同名專輯, Kimberley, 2012, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, R&B, 流行歌曲, Pop, 清澈嗓音, Clean Vocals, 轉音技巧, Vocal Runs, 鋼琴伴奏, Piano, 流行鼓組, Pop Drums, 浪漫, Romantic, 婚禮, Wedding, 約會, Dating, 咖啡廳, Cafe, 療癒, Healing, 經典, Classic, 表現得像個女生, 愛你是我唯一的秘密"
Lydia,F.I.R.飛兒樂團,Pm2-x3EiRNs,"飛兒樂團同名專輯, F.I.R., 2004, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 流行搖滾, Pop Rock, 抒情搖滾, Power Ballad, 戲劇張力, Dramatic, 爆發力嗓音, Powerful Vocals, 高音域, High Range, 鋼琴主導, Piano, 電吉他, Electric Guitar, 史詩感, Epic, 懷舊經典, Classic, 情感宣洩, Emotional, 傷感, Melancholic, 戲劇配樂, Soundtrack, 謎樣的雙眼總有無聲的憂傷, Lydia迷離的眼眶為何流浪心碎的樣子"
曖昧,楊丞琳,wUnktnnhMjw,"曖昧, Ambiguous, 2005, 2000年代, 2000s, 台灣, Taiwan, 華語流行, Mandopop, 楊式情歌, Rainie Yang Style, 流行抒情, Pop Ballad, 柔美嗓音, Soft Vocals, 鋼琴, Piano, 弦樂, Strings, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 懷舊, Nostalgic, 曖昧讓人受盡委屈, 曖昧讓人變得貪心"
猜不透,丁噹,RUOvyPGqdcg,"夜貓, Night Cat, 2009, 2000年代, 2000s, 台灣, Taiwan, 華語流行, Mandopop, 丁噹情歌, Della Style, 流行抒情, Pop Ballad, 情感爆發, Powerful Vocals, 高亢嗓音, High-pitched Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 失戀情歌, Heartbreak, 苦情, Anguish, 猜不透是你瞳孔的顏色, 猜不透是你優柔的表情"
給我一個理由忘記,A-Lin,4IVAki2TuQE,"我們會失戀, Circles, 2011, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 強力情歌, Power Ballad, 情感爆發, Emotional Vocals, 高音域, High Pitch, 鋼琴伴奏, Piano, 弦樂編曲, Strings, 療癒系, Healing, 情感宣洩, Catharsis, 經典, Classic, 悲傷, Sadness, 深刻, Intense, 流行音樂, Popular Music, 傷心的人別聽慢歌, 我怕我沒有機會說聲再見"
失落沙洲,徐佳瑩,chMhXXl3CJI,"首張創作專輯, LaLa First Album, 2009, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 徐佳瑩風格, Lala Hsu Style, 流行抒情, Pop Ballad, 清澈嗓音, Clean Vocals, 氣聲唱法, Airy Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒系, Healing, 情感渲染, Emotional, 經典, Classic, 婚禮歌單, Wedding, 咖啡廳, Cafe, 又來到這個老地方, 我不是一定要你回來"
夜空中最亮的星,鄧紫棋,55KEjIOTQz0,"鄧紫棋 G.E.M. LIVE 地區的歌, G.E.M. LIVE, 2019, 2010年代, 2010s, 中國, 華語流行, Mandopop, 鄧紫棋式抒情, G.E.M. Style, 流行搖滾, Pop Rock, 流行抒情, Pop Ballad, 爆發力嗓音, Powerful Vocals, 實力派唱腔, Vocal Virtuoso, 電吉他, Electric Guitar, 鋼琴編曲, Piano, 鼓組, Drums, 情感共鳴, Emotional, 療癒, Healing, 演唱會, Live Performance, 經典, Classic, 夜空中最亮的星能否聽清, 夜空中最亮的星請指引我靠近"
大約在冬季,齊秦,1cfzqmoTetI,"冬雨, Winter Rain, 1987, 1980年代, 1980s, 台灣, Taiwan, 華語流行, Mandopop, 齊秦風格, Chyi Chin Style, 流行抒情, Pop Ballad, 滄桑嗓音, Husky Vocals, 情感演繹, Emotional Delivery, 原聲吉他, Acoustic Guitar, 流行搖滾, Pop Rock, 經典, Classic, 懷舊, Nostalgic, 雋永, Timeless, 療癒, Healing, 情感共鳴, Sentimental, 輕輕的我將離開你, 沒有我的日子裡你一定要保重自己"
剛剛好,薛之謙,VTW2nMKWzG4,"初學者者, Beginner, 2016, 2010年代, 2010s, China, 華語流行, Mandopop, 薛式情歌, Joker Xue Style, 流行抒情, Pop Ballad, 磁性嗓音, Raspy Vocals, 情感爆發, Emotional Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 流行編曲, Modern Pop, 浪漫, Romantic, 療癒, Healing, 婚禮歌單, Wedding, 經典, Classic, 如果有人在燈下, 其實我還好"
後來的我們,五月天,pe59uGrqMT0,"自傳, History of Tomorrow, 2016, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 五月天搖滾, Mayday Style, 流行搖滾, Pop Rock, 抒情搖滾, Power Ballad, 穿透力嗓音, Powerful Vocals, 情感爆發, Emotional Delivery, 鋼琴主導, Piano, 鼓組節奏, Drums, 電吉他, Electric Guitar, 療癒, Healing, 情感共鳴, Emotional, 經典, Classic, 流行經典, Iconic, 懷舊, Nostalgic, 悲傷敘事, Melancholic, 孤獨感, Solitude, 然後呢我們是不是學會了放棄, 只期待後來的你能快樂"
愛我別走,張震嶽,9DmMtJGqQQA,"秘密基地, Secret Base, 1998, 1990年代, 1990s, Taiwan, 華語流行, Mandopop, 張震嶽式搖滾, Chang Chen-yue Style, 流行搖滾, Pop Rock, 抒情搖滾, Soft Rock, 滄桑質感, Raw Vocals, 木吉他, Acoustic Guitar, 電吉他, Electric Guitar, 經典, Classic, 懷舊, Nostalgic, 情感表達, Emotional, 傷感, Melancholy, 愛我別走如果你說你不愛我, 愛我別走如果你說你不愛我"
心太軟,任賢齊,YAi1ZxkL4zU,"心太軟, Heart Too Soft, 1996, 1990年代, 1990s, 台灣, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 叙事性男聲, Narrative Vocals, 溫暖嗓音, Warm Vocals, 經典編曲, Classic Arrangement, 鼓擊律動, Groove, 療癒, Healing, 情感共鳴, Emotional, 經典, Classic, 懷舊, Nostalgic, 你總是心太軟心太軟, 把所有問題都自己扛"
過火,張信哲,rwE0kFcPZa8,"過火, The Fire, 1995, 1990年代, 1990s, Taiwan, 華語流行, Mandopop, 張信哲式情歌, Jeff Chang Style, 流行抒情, Pop Ballad, 情感堆疊, Emotional Intensity, 實力唱功, Powerful Vocals, 鋼琴主導, Piano, 弦樂編制, Strings, 悲傷, Sadness, 療癒, Healing, 經典, Classic, 懷舊, Nostalgic, 深刻情感, Deep Emotion, 是否對你承諾了太多, 怎麼忍心怪你犯了錯"
唯一,王力宏,kN-6crjPvnc,"唯一, The One, 2001, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 王式情歌, Wang Leehom Style, R&B, 流行抒情, Pop Ballad, 情感表達, Expressive Vocals, 假音技巧, Falsetto, 鋼琴伴奏, Piano, 弦樂編制, String Orchestra, 浪漫氛圍, Romantic, 忠誠, Devotion, 婚禮歌單, Wedding, 約會, Dating, 經典, Classic, 表現力, Emotional Intensity, 我的天空多麼的清晰, 我的唯一"
